label,method,round,aggregation_error
spreadA,flora,83,0.1361916672982353
spreadA,rblora,84,2.1147167206612463
spreadA,flora,84,0.13621295523211172
spreadA,rblora,85,2.1147506228363437
spreadA,flora,85,0.13617724380377513
spreadA,rblora,86,2.115010591192784
spreadA,flora,86,0.13619711085645722
spreadA,rblora,87,2.114379020601282
spreadA,flora,87,0.13615838987846995
spreadA,rblora,88,2.1146804105378654
spreadA,flora,88,0.1361623861656519
spreadA,rblora,89,2.1143253814256195
spreadA,flora,89,0.13613337038457599
spreadA,rblora,90,2.113960933496412
spreadA,flora,90,0.13610129073846414
spreadA,rblora,91,2.113284317720743
spreadA,flora,91,0.13605614545735512
spreadA,rblora,92,2.113670977526747
spreadA,flora,92,0.13607845354067652
spreadA,rblora,93,2.113673058806663
spreadA,flora,93,0.13607774705252876
spreadA,rblora,94,2.112867268802761
spreadA,flora,94,0.13603289728430926
spreadA,rblora,95,2.112725093050842
spreadA,flora,95,0.1360214746316707
spreadA,rblora,96,2.1122173463723546
spreadA,flora,96,0.13597973283327833
spreadA,rblora,97,2.112027342785883
